SQLDATE,SOURCEURL,Actor1CountryCode,Actor2CountryCode,AvgTone
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,USA,,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,,USA,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,,USA,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,,USA,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,USA,,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,,USA,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,,USA,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,USA,,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,,USA,0.18083182640145
20241107,https://www.foxnews.com/politics/abandon-harris-movement-flipped-dearborn-trump-election-day,USA,,0.18083182640145
20241107,https://www.foxnews.com/politics/blue-state-governor-summons-legislature-response-trump-win-ready-fight,USA,USA,-2.25303292894281
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,USA,,-3.63391655450875
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,USA,USA,-3.63391655450875
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,,USA,-3.63391655450875
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,,USA,-3.63391655450875
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,USA,,-3.63391655450875
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,USA,,-3.63391655450875
20241107,https://www.foxnews.com/media/jim-acosta-scolds-latinos-who-backed-trump-despite-deportation-plan-why-would-do-themselves,,USA,-3.63391655450875
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241105,https://www.foxnews.com/politics/pennsylvania-county-extends-voting-hours-after-software-issue-scanning-ballots,USA,,2.15311004784689
20241105,https://www.foxnews.com/politics/pennsylvania-county-extends-voting-hours-after-software-issue-scanning-ballots,USA,,2.15311004784689
20241105,https://www.foxnews.com/politics/pennsylvania-county-extends-voting-hours-after-software-issue-scanning-ballots,USA,,2.15311004784689
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241106,https://apnews.com/article/election-2024-voting-turnout-election-day-a8ae22f34417dcda060b430dac89bdbc,USA,,-3.71900826446281
20241106,https://us.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-2.1656050955414
20241106,https://www.cnn.com/2024/11/06/politics/battleground-states-vote-count-ballots/,USA,,-1.93508114856429
20241106,https://apnews.com/article/election-2024-voting-turnout-election-day-a8ae22f34417dcda060b430dac89bdbc,USA,,-3.71900826446281
20241106,https://apnews.com/article/election-2024-voting-turnout-election-day-a8ae22f34417dcda060b430dac89bdbc,USA,,-3.71900826446281
20241106,https://edition.cnn.com/2024/11/05/media/trump-revokes-journalists-election-night-credentials/,USA,,-4.32
20241106,https://edition.cnn.com/2024/11/05/media/trump-revokes-journalists-election-night-credentials/,USA,,-4.32
